"traditional","tradizionale <br />La cucina tradizionale italiana è molto apprezzata in tutto il mondo. (Traditional Italian cuisine is highly appreciated worldwide.)"
"narrow, tight, strict","stretto <br />La strada era troppo stretta per permettere il passaggio di due auto contemporaneamente. (The road was too narrow to allow the passage of two cars at the same time.)"
"air, atmosphere, melody","aria <br />L'aria nella stanza era molto calda e soffocante. (The air in the room was very hot and stifling.)"
"to unite, to join","unire <br />Gli Stati Uniti furono uniti dopo la guerra d'indipendenza. (The United States were united after the War of Independence.)"
"limit, boundary","limite <br />C'è un limite di velocità sulla strada principale. (There's a speed limit on the main road.)"
"to return, to go back","ritornare <br />Domani devo ritornare al lavoro dopo le vacanze. (Tomorrow I have to return to work after the holidays.)"
"practice, practical","pratica <br />La pratica rende perfetti. (Practice makes perfect.)"
"Luigi","Luigi <br />Luigi è il mio migliore amico. (Luigi is my best friend.)"
"scientific","scientifico <br />La comunità scientifica ha scoperto una nuova cura per la malattia. (The scientific community has discovered a new cure for the disease.)"
"depth scientific knowledge.)","(This topic is very complex and requires in<br />undefined"
"series","Serie <br />Ho appena finito di guardare la terza stagione di questa serie televisiva. (I just finished watching the third season of this TV series.)"
"to love","amare <br />Amo la mia famiglia più di qualsiasi altra cosa al mondo. (I love my family more than anything else in the world.)"
"measure","misura <br />La misura del mio piede è 38."
"powerful","potente <br />Il computer che ho comprato è molto potente."
"mass, crowd","massa <br />C'era una grande massa di persone al concerto."
"opposite, contrary","contrario <br />Il contrario di "caldo" è "freddo"."
"answer, response","risposta <br />Non ho ancora ricevuto una risposta alla mia email."
"to attack, to stick","attaccare <br />Il cane ha iniziato ad attaccare il ladro."
"to confirm","confermare <br />Posso confermare che la riunione è stata fissata per domani."
"transport, transportation","trasporto <br />Il trasporto pubblico in città è molto buono."
"university","Università <br />Ho studiato all'Università di Bologna."
"evil, bad, pain","male <br />Non voglio fare niente di male."
"church","Chiesa <br />Vado in Chiesa ogni domenica."
"particularly","particolarmente <br />Mi piace particolarmente questo libro."
"Russian","russo <br />Sono di origini russe."
"to arrange, to dispose","disporre <br />Ho disposto i fiori nel vaso."
"to play (an instrument), to ring","suonare <br />So suonare il pianoforte."
"to beat","battere <br />Il mio cuore batte velocemente."
"far, distant, remote","lontano <br />La spiaggia è lontana dalla città. (The beach is far from the city.)"
"change","cambio <br />Ho bisogno di un cambio di vestiti. (I need a change of clothes.)"
"rule","regola <br />La regola principale è di arrivare in orario. (The main rule is to arrive on time.)"
"to move","muovere <br />Non riesco a muovere il braccio a causa del dolore. (I can't move my arm because of the pain.)"
"to observe, to watch","osservare <br />Mi piace osservare gli uccelli nel mio giardino. (I like to watch birds in my garden.)"
"secret","segreto <br />Non posso dirti il mio segreto. (I can't tell you my secret.)"
"excellent","ottimo <br />Questo ristorante ha un'ottima cucina. (This restaurant has excellent food.)"
"heart","cuore <br />Il cuore è un organo importante del nostro corpo. (The heart is an important organ in our body.)"
"to fight, to combat","combattere <br />Dobbiamo combattere il razzismo e l'intolleranza. (We must fight racism and intolerance.)"
"stone, rock","pietra <br />Ho trovato una bella pietra sulla spiaggia. (I found a beautiful stone on the beach.)"
"teacher, master","maestro <br />Mio padre è stato il mio primo maestro di vita. (My father was my first life teacher.)"
"room, hall","sala <br />La sala è troppo piccola per ospitare tutti gli invitati. (The room is too small to accommodate all the guests.)"
"right, just","giusto <br />È giusto rispettare le opinioni degli altri. (It is right to respect other people's opinions.)"
"importance","importanza <br />La salute è di grande importanza per il benessere della persona. (Health is of great "
"being.)","importance for a person's well<br />"
"to defeat, to overcome","sconfiggere <br />Dobbiamo sconfiggere la paura per poter vivere appieno la vita. (We must overcome fear in order to fully live life.)"
"crisis","crisi <br />La crisi economica ha avuto un impatto negativo sulla vita delle persone. (The economic crisis has had a negative impact on people's lives.)"
"to happen","accadere <br />Non so cosa accadrà in futuro. (I don't know what will happen in the future.)"
"path, route","percorso <br />Il percorso più veloce per arrivare alla stazione è quello lungo il fiume. (The fastest route to the station is the one along the river.)"
"weight","peso <br />Il peso ideale dipende dall'altezza e dalla costituzione della persona. (The ideal weight depends on a person's height and build.)"
"artistic","artistico <br />Mi piace visitare i musei per ammirare l'arte artistica. (I like to visit museums to admire artistic art.)"
"column, pillar","colonna <br />La colonna di marmo sorregge l'arco."
"continuous, ongoing","continuo <br />Il traffico è continuo durante le ore di punta."
